blosum_score	nu_mean	nu_sd	n
-8	1.83909458	0.03552151784525976	2028
-7	1.81057817	0.050749843061272476	676
-6	0.4138794625	0.024433912929949654	68
-5	0.4138794625	0.024433912929949654	1123
-4	0.4138794625	0.024433912929949654	2374
-3	-0.10507524215	0.02436499865470588	2752
-2	-0.674096551	0.027189815037166727	2440
-1	-0.9962881745	0.032601806841122724	1998
0	-1.1976466725	0.04368034872306866	1006
1	-1.200125425	0.03875914588347864	688
2	-1.200125425	0.03875914588347864	226
3	-1.200125425	0.03875914588347864	169
5	0	0	676
